Item Name,Qty,Price (total) (USD) (Conversion from Euro),Item link,Notes
Seeed Studio Xiao RP2040,1,$6.47,https://mauser.pt,All items are from PT stores and have been converted from euro to dollar since I live in Portugal
1.3 Inch TFT Display,1,$5.22,https://aliexpress.com,
3.5mm Jack,1,$0.25,https://www.digikey.pt,
DFPlayer,1,$2.29,https://aliexpress.com,
Resistor Pack,1,"$2,65",https://aliexpress.com,This pack was choosen since it makes me save money by going over the necessary buy amount for the free shipping
10 uF Capacitors,2,$0.53,https://mauser.pt,These were choosent since i only have 8mm of clearance between plates to fir the capacitors
6x6mm Buttons,5,$0.81,https://mauser.pt,
MH-CD42 + 5V Buck Converter,1,$2.48,https://aliexpress.com,This price is the combined price of the actual product and its forced shipping of 1.45 euros since its a global seller
800mah Lipo battery,1,$6.58,https://mauser.pt,
Switch,1,$0.46,https://www.aquario.pt,
PCB,1,$5.11,https://www.jlcpcb.com,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$30.20,,,
